350
0	13.8
1	14.4
2	14.8
0	15.6
1	16.4
3	16.6
2	17.1
0	18.1
1	18.4
2	19.1
0	19.8
1	20.8
0	22.1
1	22.7
2	23.1
0	23.9
1	24.7
3	24.9
2	25.4
0	26.4
1	26.7
2	27.4
0	28.1
1	29.1
0	30.8
1	31.4
2	31.8
0	32.6
1	33.4
3	33.6
2	34.1
0	35.1
1	35.4
2	36.1
0	36.8
1	37.8
0	39.6
1	40.2
2	40.6
0	41.4
1	42.2
3	42.4
2	42.9
0	43.9
1	44.2
2	44.9
0	45.6
1	46.6
0	48.3
1	48.9
2	49.3
0	50.1
1	50.9
3	51.1
2	51.6
0	52.6
1	52.9
2	53.6
0	54.3
1	55.3
0	56.6
1	57.2
2	57.6
0	58.4
1	59.2
3	59.4
2	59.9
0	60.9
1	61.2
2	61.9
0	62.6
1	63.6								
0	65.1
1	65.3
2	65.6
0	66.1
1	66.3
2	66.6
0	67.1
1	67.3
2	67.6
0	68.1
1	68.3
2	68.6
0	69.1
1	69.3
2	69.6
0	70.3
0	70.5
1	70.8
0	71.3
1	71.5
2	71.8
0	72.3
1	72.5
2	72.8
0	73.6
1	73.8
2	74.1
0	74.8
1	75.0
2	75.3
0	75.8
1	76.0
2	76.3
0	76.8
1	77.0
2	77.3
0	77.6
1	77.8
2	78.1
0	78.8
0	79.0
1	79.3
0	79.8
1	80.0
2	80.3
0	80.8
1	81.0
2	81.3
0	82.1
1	82.3
2	82.6
0	83.3
1	83.5
2	83.8
0	84.3
1	84.5
2	84.8
0	85.3
1	85.5
2	85.8
0	86.1
1	86.3
2	86.6
0	87.3
0	87.5
1	87.8
0	88.3
1	88.5
2	88.8
0	89.3
1	89.5
2	89.8
0	90.6
1	90.8
2	91.1
0	91.8
1	92.0
2	92.3
0	92.8
1	93.0
2	93.3
0	93.8
1	94.0
2	94.3
0	94.6
1	94.8
2	95.1
0	95.8
0	96.0
1	96.3
0	96.8
1	97.0
2	97.3
2	97.8
1	98.0
0	98.3										
1	98.8
2	98.8
0	100.6
1	101.3
2	101.9
1	102.8
2	103.3
2	104.3
0	104.8
1	105.1
1	105.3
2	105.8	
2	106.3
0	106.8
1	107.3
2	107.3
0	109.3
1	110.1
2	110.6
0	111.3
1	111.9
2	112.3
0	113.1
1	113.9
3	114.1
2	114.6
0	115.6
1	115.9
2	116.6
0	117.3
1	118.3
0	119.6
1	120.2
2	120.6
0	121.4
1	122.2	
3	122.4
2	122.9
0	123.9
1	124.2
2	124.9
0	125.6
1	126.6	
0	128.3
1	128.5
2	128.8
0	129.3
1	129.5
2	129.8
0	130.3
1	130.5
2	130.8
0	131.3
1	131.5
2	131.8
0	132.3
1	132.5
2	132.8
0	133.5
0	133.7
1	134.0
0	134.5
1	134.7
2	135.0
0	135.5
1	135.7
2	136.0
0	136.8
1	137.0
2	137.3
0	138.0
1	138.2
2	138.5
0	139.0
1	139.2
2	139.5
0	140.0
1	140.2
2	140.5
0	141.1
1	141.3
2	141.6
0	142.3
0	142.5
1	142.8
0	143.3
1	143.5
2	143.8
0	144.3
1	144.5
2	144.8
0	145.3
1	145.5
2	145.8
0	146.5
1	146.7
2	147.0
0	147.5
1	147.7
2	148.0
0	148.5
1	148.7
2	149.0
0	149.6
1	149.8
2	150.1
0	150.8
0	151.0
1	151.3
0	151.8
1	152.0
2	152.3
0	152.8
1	153.0
2	153.3
0	153.8
1	154.0
2	154.3
0	155.0
1	155.2
2	155.5
0	156.0
1	156.2
2	156.5
0	157.0
1	157.2
2	157.5
0	157.8
1	158.0
2	158.3
0	159.0
0	159.2
1	159.5
0	160.0
1	160.2
2	160.5
2	160.8
1	161.6								
1	162.1
2	162.1
0	163.9
1	164.6
2	165.2												
1	166.1
2	166.6
2	167.6
0	168.1
1	168.4
1	168.6
2	169.1
2	169.6
0	170.1									
1	170.6
2	170.6
0	172.6
1	173.4
2	173.9							
0	175.1
1	175.7
2	176.1
0	176.9
1	177.7
3	177.9
2	178.4
0	179.4
1	179.7
2	180.4
0	181.1
1	182.1
0	183.4
1	184.0
2	184.4
0	185.2
1	186.0
3	186.2
2	186.7
0	187.7
1	188.0
2	188.7
0	189.4
1	190.4
0	196.2										
